# frequency_hz	hv_median	hv_plus	hv_minus	hv_std
8.222179106494852618e+00 1.008533971688293729e+00 1.488976907209486944e+00 5.280910361671001807e-01 4.804429355211934372e-01
8.483002524949686318e+00 9.781343363008634384e-01 1.464038061175151340e+00 4.922306114265754817e-01 4.859037248742879012e-01
8.752099766527720703e+00 9.508520452056755667e-01 1.420530054901674166e+00 4.811740355096768007e-01 4.696780096959987660e-01
9.029733292895482322e+00 9.384610705161650079e-01 1.373673739225156343e+00 5.032484018071737841e-01 4.352126687089912793e-01
9.316173891510997507e+00 9.360562855758741696e-01 1.323213915187217093e+00 5.488986559645313568e-01 3.871576296113429239e-01
9.611700939734030058e+00 9.305128291083384351e-01 1.268162357522945038e+00 5.928633006937318317e-01 3.376495284146066034e-01
9.916602677314358516e+00 9.149107766138983022e-01 1.212231804022515513e+00 6.175897492052810911e-01 2.973210274086172666e-01
1.023117648752390707e+01 8.963634232818716852e-01 1.167139344807204715e+00 6.255875017565387664e-01 2.707759215253329188e-01
1.055572918720698361e+01 8.853813200278769502e-01 1.141803823434114795e+00 6.289588166216393272e-01 2.564225034062376785e-01
1.089057732603139073e+01 8.877375894045319571e-01 1.135847919462932509e+00 6.396272593461315159e-01 2.481103300584003857e-01
1.123604749523244628e+01 9.016570829543488763e-01 1.147441031572109749e+00 6.558731343365877819e-01 2.457839486177609833e-01
1.159247664615089590e+01 9.191044340472980245e-01 1.170186664103196383e+00 6.680222039913998877e-01 2.510822300558981368e-01
1.196021241887548214e+01 9.341235624882425759e-01 1.192095160245275842e+00 6.761519647312093095e-01 2.579715977570331553e-01
1.233961348131072988e+01 9.470764787959741193e-01 1.210364865518150701e+00 6.837880920737974266e-01 2.632883867221765817e-01
1.273104987900053686e+01 9.578904159688588216e-01 1.232020805003575248e+00 6.837600269341421733e-01 2.741303890347165373e-01
1.313490339604894075e+01 9.644705266167780122e-01 1.257739514170580275e+00 6.712015390629758604e-01 2.932689875538021518e-01
1.355156792748991812e+01 9.703816358461411218e-01 1.290635574572861710e+00 6.501276971194206444e-01 3.202539387267205329e-01
1.398144986346948215e+01 9.853623739813427429e-01 1.340044447916557857e+00 6.306803000461278508e-01 3.546820739352150031e-01
1.442496848561484235e+01 1.016558225362158785e+00 1.406363074819921621e+00 6.267533759043961705e-01 3.898048494577626699e-01
1.488255637597705139e+01 1.058064669681263448e+00 1.472618612806103844e+00 6.435107265564229406e-01 4.145539431248404516e-01
1.535465983894623676e+01 1.095898367582354371e+00 1.514150043551430347e+00 6.776466916132787288e-01 4.182516759690757535e-01
1.584173933655065092e+01 1.122772695337229010e+00 1.520625905903066011e+00 7.249194847713921197e-01 3.978532105658370011e-01
1.634426993756438762e+01 1.141707701210700865e+00 1.505306738827997259e+00 7.781086635934045814e-01 3.635990376172963390e-01
1.686274178086158670e+01 1.158458987355152070e+00 1.492240326720858379e+00 8.246776479894456502e-01 3.337813393657064198e-01
1.739766055346910179e+01 1.175326575084617131e+00 1.497024461930746675e+00 8.536286882384874763e-01 3.216978868461295993e-01
1.794954798378403638e+01 1.193144919699476114e+00 1.520332209973015214e+00 8.659576294259369034e-01 3.271872902735392108e-01
1.851894235043695858e+01 1.214270388243563703e+00 1.556949035898538058e+00 8.715917405885893476e-01 3.426786476549744109e-01
